Team Name,Goalspg,Shotspg,yellowcardpg,redcardpg,Posseion%,PassAcc,AerialsWonpg,Shotedpg,Tacklespg,Interceptionpg,Foulspg,Offsidepg,ShotsOTpg,Dribblespg,Fouledpg,Rank
Swansea,1.184210526,11.2,1.263157895,0.131578947,50.7,82.1,14.4,14.6,16.7,18.2,10.5,2.1,3.9,9.2,12.2,8
West Ham,1.184210526,12.9,1.684210526,0.0526315789,46.7,74.6,22.9,15.5,17,13.3,11.1,2.4,4,6.8,11,12
Leicester,1.342105263,12,1.315789474,0.105263158,44.8,71.1,23.4,14.7,20.8,19.6,12,1.6,3.6,9.2,9.2,14
Crystal Palace,1.210526316,11.6,1.657894737,0.105263158,42.7,69.4,23.7,13.8,20.8,15.8,13.9,2,3.7,9.4,11.4,10
Everton,1.263157895,12.7,1.736842105,0.0526315789,53.6,82.5,15.3,13.2,17.4,11.7,10.3,2.2,4.4,10.3,11.8,11
Burnley,0.763157895,11.3,1.684210526,0.0526315789,44,70.3,25.1,15.6,16.1,14.9,10.7,1.7,3.3,6.4,10.5,19
Queens Park Rangers,1.105263158,14.1,1.973684211,0.0789473684,46.3,70.8,21.7,16.4,20.6,14.8,11.8,2.1,3.9,8.1,10.3,20
West Bromwich Albion,0.973684211,10.8,1.684210526,0.0789473684,44.9,75,17.2,14.4,18.3,15.5,11.1,1.7,3.5,6.3,10.7,13
Hull,0.842105263,11.3,1.921052632,0.157894737,45.5,76.5,21.9,13.2,20.1,15.9,11.9,1.9,3.4,6.7,10.6,18
Sunderland,0.921052632,10.7,2.473684211,0.0526315789,46.2,76.1,15.3,16.5,20,15.2,11.6,1.8,3.4,9,11.8,16
Newcastle United,1.078947368,12.3,1.710526316,0.184210526,48.1,76.9,17.7,11.7,21.7,16.9,11.4,1,3.8,11.7,11.6,15
Aston Villa,0.842105263,11,1.842105263,0.184210526,49.1,79,18.4,12.6,16.4,12.7,10.6,1.9,3.3,7.6,11.1,17
Liverpool,2.657894737,17.1,1.421052632,0.0263157895,54.7,84.1,15.2,12.6,22.3,12.3,10.8,2.1,6.8,12.4,10.8,2
Manchester City,2.631578947,17.7,1.894736842,0.0263157895,55.7,85.5,15.2,9.4,19.9,13.1,10.4,1.6,6.3,8.9,9,1
Chelsea,1.868421053,18.2,1.5,0.0789473684,53.9,82.7,19.3,10.3,19.2,9.8,11.2,2.8,6,11.4,11.8,3
Arsenal,1.842105263,13.8,1.394736842,0.105263158,55.7,85.5,17.9,11.9,18.8,14.3,9.2,1.9,5.6,9,10.6,4
Everton,1.631578947,14.8,1.447368421,0.0263157895,54.4,83.2,14.3,13,19.4,12.2,9.6,2.1,5.2,12.6,11.7,5
Manchester United,1.684210526,13.8,1.736842105,0.0789473684,54.3,84,15.4,11.9,17.8,15.6,10.6,2.6,4.8,8.9,11.8,7
Southampton,1.394736842,14.1,1.578947368,0,56.5,81.1,17.4,9.6,21.2,13.9,11.7,2.6,4.7,8.9,9.9,8
Crystal Palace,0.868421053,10.9,1.526315789,0.0526315789,41.1,70.2,23.2,13.9,22.3,18.3,10.8,1.9,3.8,7.7,9.7,11
Tottenham,1.342105263,15.4,1.736842105,0.105263158,53.4,81.1,15,11.2,19.8,14.7,10.7,1.7,5.1,11,10.2,6
Stoke,1.131578947,11.3,1.894736842,0.131578947,48.1,77.3,25.3,14.4,20.8,12.6,12.8,2.1,3.6,7.6,9.5,9
Newcastle United,1.131578947,15.2,1.368421053,0.157894737,49.8,79.4,20.6,12.8,19.3,15.7,10.9,2.1,4.8,10.1,9.2,10
Swansea,1.289473684,13,1.447368421,0.0789473684,55.6,84.8,14.9,12.7,17.7,16.9,9.9,2,4.3,7.6,9.9,12
West Ham,1,11.1,1.631578947,0.131578947,44.2,73.1,21.2,17.9,17.1,10.6,10.7,2,3.2,7.4,9.7,13
West Bromwich Albion,1.131578947,12.8,1.763157895,0,47.2,77.1,18.2,13,18.4,15.7,11.3,2.4,3.9,7.8,11.4,17
Hull,1,11.3,1.394736842,0.105263158,45.9,76.1,18.9,14,19,16.1,11.1,2.3,3.5,5.8,10.5,16
Aston Villa,1.105263158,11.3,2.052631579,0,44.8,73.2,19.3,13,19.7,12,12.9,2.2,3.6,6.2,9.2,15
Sunderland,1.236842105,12.9,1.815789474,0.184210526,46.7,77.5,15,16.7,18.5,10.9,11.8,1.8,3.6,6.4,11.9,14
Norwich,0.815789474,12.3,1.631578947,0.0526315789,46.4,75.9,15.8,15.3,17.7,13.8,11.2,1.3,3.9,6.7,10.3,18
Fulham,1.131578947,11.3,1.526315789,0.0263157895,45.7,78,17.1,17.7,18.5,13.1,10.2,2.3,3.9,8,10.2,19
Cardiff,0.789473684,11,1.289473684,0.0263157895,45.9,75.4,18.5,18.2,16.3,13,9.1,2.1,3.3,8.3,9.7,20
Arsenal,1.815789474,15.7,1.105263158,0.131578947,56.2,85.2,16.8,10.6,19.7,16.7,10.1,2.1,5.4,10.7,10.8,4
Manchester United,2.236842105,14.7,1.5,0.0263157895,54.9,85.2,14.2,12.8,19.2,13.6,9.9,2.5,5.6,6.4,11.1,1
Liverpool,1.868421053,19.4,1.421052632,0.0526315789,55.1,83.9,12.7,11.4,20.9,13.8,10.6,2.9,6.1,9.9,9.4,7
Tottenham,1.631578947,17.9,1.447368421,0.0526315789,52.8,82.5,14.6,9.7,19.6,19,10.3,2,6.3,8,10.3,5
Chelsea,1.947368421,16.5,1.342105263,0.0789473684,52.9,82.7,13.5,12.2,18.7,13.2,10.5,2.1,5.6,7.3,11.9,3
